127.0.0.1 - - [23/Feb/2024:09:41:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:41:36 +0900] "GET /projectMVC/ HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:41:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:46:11 +0900] "GET /projectMVC/ HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:52:35 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:53:31 +0900] "GET /projectMVC/ HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:53:32 +0900] "GET /projectMVC/ HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:53:34 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:53:48 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:53:50 +0900] "GET /projectMVC/ HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:53:50 +0900] "GET /projectMVC/ HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:54:26 +0900] "GET /projectMVC/ HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:54:27 +0900] "GET /projectMVC/member/writeForm2.do HTTP/1.1" 200 3978
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:54:27 +0900] "GET /projectMVC/js/member.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:56:55 +0900] "GET /projectMVC/member/loginForm.do HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [23/Feb/2024:09:57:00 +0900] "POST /projectMVC/member/login.do HTTP/1.1" 200 523
